CL;Wind_FLH;Solar_FLH
-1;-1,0;-1,0
0;3147,600425230428;1337,7887850087036
1;1550,891379935322;1370,2358783624586
2;1139,790755321452;1505,0660687250254
3;1258,799335964966;1323,3576611385408
4;1849,3701132264678;1448,9957970068765
5;1545,6033804787319;1303,0045257637325
6;484,58651569986563;1364,3526695979378
7;1706,4595078267155;1345,134315392934
8;582,4044468259499;1349,7963715998303
9;1957,413549803648;1340,7513851444137
10;717,2567830421046;1454,247128913434
11;1340,9842448886789;1393,5501275191489
12;2171,3832541793636;1373,616729621351
13;2069,274232067268;1351,8625366537342
14;869,9995753315144;1437,4410017162056
15;2041,425154336285;1342,8730921591523
16;1700,3789529516007;1375,721541296036
17;880,2885666208377;1388,210524502686
18;814,1181159560323;1367,77059149542
19;2503,153235992996;1317,244237684511
20;2293,065591741353;1359,0467292514652
21;879,7330051508641;1356,3776776833968
22;1963,7376855720074;1322,7455741000808
23;795,2692110499672;1456,7021070468654
24;1784,2249018568618;1337,073454890827
25;1133,9949287174393;1370,2116487000044
26;1054,5331647551868;1296,842735335565
27;1935,8865977561802;1331,6484209194932
28;2999,0401476883108;1431,8880159039552
29;1426,0559988163272;1306,1554757697047
30;2702,473265089709;1368,9280639681967
31;2479,5245124709563;1509,7601723973949
32;2513,802846854001;1343,3982014081862
33;1538,3621380743953;1329,0272748782409
34;1359,438324083076;1411,0396411064908
35;1907,1916691503952;1388,8245314669734
36;947,0052991919708;1353,077916572973
37;949,0751748382917;1373,826895903621
38;2998,9001582441806;1330,3572641789935
39;1097,628997807804;1326,0656524654448
40;779,2237945026117;1370,8000588080429
41;2365,8846528655067;1329,7247817513476
42;1128,8282629400974;1393,129907964273
43;2789,8418738264586;1358,557167183591
44;973,7063749764988;1417,1021132842072
45;2350,78613568237;1359,786909501109
46;907,815723617498;1436,0054380396734
47;2123,2569275675337;1348,4658268374833
48;2362,8171496862883;1316,3872049689815
49;1723,8615148151312;1337,0920588662398
50;2260,887405976679;1353,869758921821
51;2197,8947190745107;1349,233619384467
52;534,9812752526625;1389,5073984069356
53;1037,1433727305857;1449,910784757217
54;1454,8888350124391;1300,827253165519
55;1596,636718877119;1303,5840170475292
56;2397,799466156757;1333,489298083982
57;3449,269681011254;1402,7762478815337
58;1819,798091196342;1504,22686657169
59;2103,705505490762;1339,7520383578265
60;696,9843387625493;1388,0488697653298
61;2496,0921887904356;1308,3597384415066
62;1080,9355580433778;1392,0750748808603
63;1916,3078380399388;1370,362281962441
64;653,6532274269547;1376,2148614521557
65;2909,086141109798;1451,721406415882
66;1029,4485796494412;1360,3202021058494
67;757,8874762739658;1380,8522480181314
68;2754,022654855625;1454,2487522550064
69;1052,819235324344;1334,825223022616
70;1764,066201629931;1354,367780175523
71;2160,740150847472;1332,1897605555218
72;1332,4367761112235;1338,9934072402793
73;2435,4084848885736;1322,801007333677
74;1471,8985760146732;1345,4791474257167
75;848,1096733408585;1411,5696383207412
76;2492,0849696285177;1510,6868255481502
77;998,4360703129784;1371,4645317443815
78;907,5800134763132;1354,0507512623442
79;1170,2389088282787;1389,2651489330835
80;3033,599983999783;1510,2163541199382
81;2444,270721040573;1336,409752472815
82;3218,223725357037;1378,276237610554
83;1415,7254995064393;1314,156676466897
84;1846,252586613867;1388,4563709821723
85;1861,6152086709992;1310,8514480540027
86;991,641124500368;1294,3979849010225
87;2232,424691243687;1310,5555345192581
88;1940,4745476281919;1344,4957127339685
89;1158,9518055681438;1354,1461208365033
90;1656,1082022964551;1303,0830672366276
91;2333,2908660542103;1315,043490665204
92;1589,8936271066425;1444,4254942343887
93;1329,744449375152;1298,4457197187385
94;2862,654447008943;1506,281254612376
95;2120,2468095165664;1340,6290771158358
96;1966,363679949786;1457,253620131398
97;1791,4527596528665;1505,627937345259
98;801,9156437089584;1371,7631216859468
99;2450,4143520611383;1356,8975848380562
100;1698,5702764796952;1307,7729237243082
101;1856,1818620129466;1351,7244716201021
102;1813,3253975855168;1350,950888353998
103;2982,4471950325906;1393,7710662588756
104;2983,0766952754934;1344,3619681508246
105;1240,2199069988362;1340,6581778149027
106;2223,129160477371;1320,3201646374916
107;3057,3306979579556;1455,9808370745843
108;777,6418221197102;1401,3132443451675
109;1081,4813460784967;1395,0743165286165
110;1115,5067318968427;1391,4846496071511
111;1177,7899082744066;1297,7987200743833
112;1036,3980174635594;1366,6702790182744
113;2747,0978920763873;1346,2060725052304
114;1076,264112378482;1362,805511211792
115;1277,760321393283;1429,6359386473373
116;1880,7716873794702;1344,0591047622086
117;2267,463997787702;1358,4816922620394
118;1857,334618140452;1349,4234862469043
119;769,5128548124379;1361,8577498428615
120;688,9279833065602;1350,1157257303748
121;1970,4450848774075;1351,8827588837487
122;1720,6317988103233;1369,6703320895415
123;2406,639102993497;1326,7274637538396
124;1744,4416453414594;1320,7960130614251
125;2388,252454718981;1353,4866865279166
126;1564,5728284749125;1302,7568665934143
127;1141,099207972802;1395,6878221584457
128;1149,274538550952;1371,734655389717
129;3069,1160283135214;1340,1398498370786
130;2948,8198960584705;1392,7425488112392
131;1639,8408482592868;1383,4119936118934
132;2207,881415170619;1394,8539745883909
133;2200,640768166043;1502,2921144535685
134;2112,071889876492;1413,1542012057791
135;1485,128909929027;1329,1261001465382
136;2211,624429995105;1337,6538315733574
137;2098,5142798251477;1349,065474156253
138;1536,9729748427274;1316,6888280999844
139;893,1377308876822;1366,6946965438983
140;1764,1459721531846;1385,866847303913
