l_id;v_id_1;v_id_2;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation;V1_long;V1_lat;V2_long;V2_lat;voltage;wires;cables;frequency
22139;43193;23620;;"ATEL; BKW";;489,72756109164703;;;;;;7.61602141237887;47.2325986006218;7.61790468099447;47.2273267897278;220000,0;1,0;9,0;50,0
65908;42022;13686;750 kV;;;394971,083012409;;;;;;26.6449735029238;50.2962827672493;21.8710468739922;50.1914848711349;750000,0;1,0;3,0;50,0
4982;7864;63104;;RTE;;1449,9865920913;;;;;;3.80033661099728;45.0451075088105;3.78391058040093;45.04211430259;225000,0;1,0;3,0;50,0
38020;2503;31912;"220kV Mündelheim Nord;380kV Meerbusch West+220kV Mündelheim Nord;380kV Meerbusch West";RWE;4540;490,31396758450796;;;;;;6.61738115554636;51.4757909650564;6.61109267348956;51.4709956023626;220000,0;1,0;3,0;50,0
64824;54679;46913;;;;37646,3910391416;;;;;;36.5270110078199;49.5842010736009;36.2465309010136;49.3663692493583;330000,0;1,0;3,0;50,0
3604;2876;28930;"Ludersheim - Schwandorf;Ludersheim - Schwandorf;Lauterhofen - Schwandorf;Lauterhofen - Schwandorf";E.ON Netz GmbH;160;36588,7838881642;;;;;;12.082254511457;49.2974477819197;11.674237749145;49.4015331398856;110000,0;1,0;3,0;50,0
63093;41060;45774;;;;42851,3261860475;;;;;;-8.31980002484333;51.9540661377153;-8.91412926413555;51.9381946588038;220000,0;1,0;3,0;50,0
10511;11437;54494;;;;17790,905274588;;;;;;-5.24732180307393;37.6435172656315;-5.16410542406533;37.5280199292517;220000,0;1,0;3,0;50,0
46049;52163;66918;;;21.364;30875,268889632003;;;;;;15.4724362092492;41.2197231531694;15.4846545534518;41.4673247813627;380000,0;1,0;3,0;50,0
67366;11107;14600;;;;74617,3426609414;;;;;;23.0046649291308;42.5287561706021;23.1024071887942;41.9645650613906;400000,0;1,0;6,0;50,0
57314;61069;8010;;;;28341,8355839571;;;;;;9.81887315699117;59.7275675962357;10.2153095044315;59.8672063830499;300000,0;1,0;3,0;50,0
37495;36634;25811;;;;1871,7895286751102;;;;;;26.1559820017236;44.4026718237121;26.1824820544015;44.3949235768576;400000,0;1,0;3,0;50,0
80091;39830;5733;;;;7244,435792376629;;;;;;-2.08335459805291;53.0408366498615;-2.04384979787662;52.9800554656456;132000,0;1,0;6,0;50,0
12171;2777;21420;;E.ON;5585;3067,0144908799703;;;;;;16.118891675349;49.1037540067666;16.148916736784;49.0868848104283;110000,0;1,0;3,0;50,0
9890;24142;21561;"220kV Koksochemia - Łośnice; Siersza - Łośnice";;;1410,6531423135;;;;;;19.470730548212;50.4838250007758;19.4609594649998;50.4965097780685;220000,0;1,0;3,0;50,0
47892;26347;61071;;;;15,740360190736;;;;;;8.03444647138148;59.4480275829308;8.03474075946856;59.4480403686071;300000,0;1,0;3,0;50,0
6436;12188;63271;110 kV;;;8165,7683664223905;;;;;;8.56022102849261;49.9921118028047;8.50868074457306;50.0333711432323;110000,0;1,0;6,0;50,0
19623;23529;23242;Arezzo-Pietrafitta 220;;22.268;53096,692202080594;;;;;;11.7450207567694;43.3335427876587;12.1852240819086;42.9817482698185;220000,0;1,0;3,0;50,0
16083;7346;63660;Toponár - Paks;;;86928,271633162;;;;;;17.836384170067;46.4145412750447;18.8052143886243;46.5822414754799;400000,0;1,0;3,0;50,0
37369;64678;59671;220kV Joachimów - Huta Częstochowa;;;4251,46289792675;;;;;;19.2515288628098;50.7606598988513;19.1918769550201;50.7596670035592;220000,0;1,0;3,0;50,0
6820;21801;63314;Salerno Nord-Montecorvino;;22.244;1009,970159103;;;;;;14.7777886676329;40.7096336130521;14.7673588701113;40.7148181232449;220000,0;1,0;3,0;50,0
12648;28334;55168;;RWE;4574;2458,98556898596;;;;;;6.65963412801378;51.5995478716066;6.68224655213283;51.5774856572905;380000,0;1,0;12,0;50,0
18324;56778;63920;;RTE;;78628,8520467679;;;;;;1.38639782575547;43.5239726933945;1.59905088256796;42.8601860937955;225000,0;1,0;3,0;50,0
9204;55435;54845;Yatağan TES TM - Yeniköy TES TM EİH;;;40600,286676184;;;;;;27.8783241792571;37.1379603506014;28.0995839920281;37.3288583476966;380000,0;1,0;3,0;50,0
14570;6071;56384;400kV Ołtarzew - Mościska;PSE Operator;;509,177815602471;;;;;;20.8813059369033;52.2906316504924;20.8707974986568;52.2902118990816;400000,0;1,0;3,0;50,0
40203;36803;32185;;;;251,714134880247;;;;;;9.09267752676315;47.559810336732;9.09337226380096;47.5562224188639;220000,0;1,0;1,0;50,0
73232;50978;37146;;;;1797,32224583216;;;;;;37.8716168962849;55.7223789500874;37.8851880080398;55.7083366663807;220000,0;1,0;6,0;50,0
21195;23455;57339;;;;74,6240868220414;;;;;;37.1042916255379;47.9881074120645;37.1032829971369;47.9880166865583;330000,0;1,0;1,0;50,0
63216;32898;45847;;RTE;;3773,8323590192103;;;;;;2.62179900321315;48.9599339145566;2.57559960916253;48.9761385998005;225000,0;1,0;3,0;50,0
65683;14655;13547;;;;92515,81708681589;;;;;;34.806497504716;50.9671496135781;33.7695210955653;50.6903713876309;330000,0;1,0;3,0;50,0
80674;56406;6103;;;;29294,803497783;;;;;;5.54382009477616;50.2104585143912;5.66297177449568;49.9756976131534;220000,0;1,0;3,0;50,0
40123;31860;32177;"380 kV 3011; 110 kV Bahnstrom Höchst-Friedberg; Höchst-Rödelheim;380 kV 3011; 110 kV Bahnstrom Höchst-Friedberg; Höchst-Rödelheim; 15 kV Sl; Sl";TenneT;;4066,7733557649103;;;;;;8.60299371813033;50.10949601252;8.59447355698657;50.1431793804418;380000,0;1,0;10,0;50,0
79124;28515;5193;;;;32581,616960077597;;;;;;10.7435672113495;59.5162516799877;11.1554910961667;59.314393669753;420000,0;1,0;3,0;50,0
41668;32400;32399;;;;6300,0755083636905;;;;;;24.4116033107493;41.9526206015733;24.4117085933006;41.9523149564437;220000,0;1,0;3,0;50,0
2672;39749;28808;;;"22.243;22.270";19416,8938714691;;;;;;14.9831526802162;40.6447169777862;14.7751141057334;40.7088916607296;220000,0;1,0;6,0;50,0
14676;46997;63492;;;;3901,4782270206297;;;;;;5.52164653616452;50.6147741731168;5.5358750350773;50.5821842825139;220000,0;1,0;6,0;50,0
39741;32134;59981;"380 kV Paffendorf Süd; Selfkant weiß; 110 kV Auenheim Nord; Glesch Nord";RWE;4179;3298,17973327729;;;;;;6.62173582314428;50.9635756824282;6.66352365353096;50.9763307843942;380000,0;1,0;12,0;50,0
80593;2415;40114;National Grid Northfleet East-Singlewell;National Grid;;5770,901067485911;;;;;;0.329816177066072;51.4283433494619;0.392936778664682;51.4048472809452;400000,0;1,0;6,0;50,0
69513;32184;36803;;NOK;;266,954285501086;;;;;;9.09314112727835;47.5561893179956;9.09267752676315;47.559810336732;220000,0;1,0;1,0;50,0
4566;64388;55978;;RWE;;17489,7721169328;;;;;;7.90643510608999;50.3527009690134;7.66954102500805;50.3857529166338;380000,0;1,0;6,0;50,0
4345;21312;63007;;RTE;;575,768906626923;;;;;;4.17739080012778;44.137832316601;4.18410642880799;44.1334028778759;225000,0;1,0;3,0;50,0
51198;23506;33544;;RWE;Anlage 323;946,862204753188;;;;;;9.13889142638328;49.1458215007688;9.14718422392863;49.1480846105852;220000,0;1,0;3,0;50,0
49110;23206;27307;;;;8517,1812469836;;;;;;12.1184495220626;45.5509816137179;12.0970029633065;45.4761406740947;132000,0;1,0;3,0;50,0
71779;29297;16954;ВЛ 220 кВ Луганская ТЭС - Сысоево.;;;127984,12621093699;;;;;;39.2678104816005;48.7484878725245;40.06990952225;49.3980494036587;220000,0;1,0;3,0;50,0
12787;20702;54955;380-kV Kernkraftwerk Emsland;RWE AG;;225,17829348503503;;;;;;7.32071021014467;52.4713640731429;7.30534459801476;52.4800010371722;380000,0;1,0;3,0;50,0
17975;22966;22967;;;;215,010445916803;;;;;;22.5729923133266;63.4463726038678;22.5705721621197;63.4447670074503;220000,0;1,0;6,0;50,0
48523;8550;27222;;;;3,32013310480416;;;;;;10.694485713783;43.0518602354964;10.695709992162;43.0532711669631;380000,0;1,0;3,0;50,0
15515;38682;56509;;;;4915,85544807466;;;;;;-1.6099005398947;47.1870534464496;-1.66406447496249;47.194690203725;225000,0;1,0;3,0;50,0
79789;55244;5582;;RTE;;1951,18942028858;;;;;;3.31499190130286;50.2985010670434;3.29073155740592;50.2964885909087;90000,0;1,0;3,0;50,0
54519;9246;28054;Moyle Interconnector;Mutual Energy;;4848,72506174601;;;;;;-4.98076960124363;55.0696897884633;-5.04467363260642;55.0583980875947;250000,0;1,0;3,0;0,0
59755;29317;9607;;;;45294,2807230418;;;;;;33.2865440752145;60.5570365938814;32.8274958915593;60.2330177571532;220000,0;1,0;3,0;50,0
