;AGR
0;7,15278792157168e-05
1;6,303598487960429e-05
2;5,97447477256672e-05
3;5,7935823488388794e-05
4;5,670475004912988e-05
5;6,0523590105606506e-05
6;7,708027166625187e-05
7;0,00012363494682843072
8;0,0001931529102249493
9;0,0002136540515807712
10;0,0001710689601615088
11;0,00015383393201188404
12;0,00014712583796530995
13;0,0001161982582973973
14;0,0001092891726689034
15;0,00010893743740054373
16;0,00011315826062085998
17;0,0001417744370966947
18;0,00020325273721642035
19;0,00023787353720210975
20;0,00019443423155968815
21;0,00013245345248516293
22;0,00010469149023248748
23;8,728059444868286e-05
24;7,15278792157168e-05
25;6,303598487960429e-05
26;5,97447477256672e-05
27;5,7935823488388794e-05
28;5,670475004912988e-05
29;6,0523590105606506e-05
30;7,708027166625187e-05
31;0,00012363494682843072
32;0,0001931529102249493
33;0,0002136540515807712
34;0,0001710689601615088
35;0,00015383393201188404
36;0,00014712583796530995
37;0,0001161982582973973
38;0,0001092891726689034
39;0,00010893743740054373
40;0,00011315826062085998
41;0,0001417744370966947
42;0,00020325273721642035
43;0,00023787353720210975
44;0,00019443423155968815
45;0,00013245345248516293
46;0,00010469149023248748
47;8,728059444868286e-05
48;7,306044002785543e-05
49;7,11761439473571e-05
50;6,582474307874182e-05
51;6,0423094314646595e-05
52;5,730772479488935e-05
53;5,911664903216775e-05
54;6,695532072704083e-05
55;0,0001034352928454886
56;0,00017230003360076774
57;0,00021259884577569212
58;0,0001914193578308908
59;0,0001716468109595283
60;0,0001593360765669392
61;0,00012069544494285332
62;0,00010112388965341062
63;8,941613000658097e-05
64;8,92653863201411e-05
65;0,00011363561562791957
66;0,00017534003127730503
67;0,00022227156565558353
68;0,00019086663098061133
69;0,00012624783739338842
70;0,00010170174045143013
71;8,220555700520734e-05
72;6,806077442759986e-05
73;6,21315227609651e-05
74;5,941813640504749e-05
75;5,720722900392944e-05
76;5,683036978782977e-05
77;6,032259852368669e-05
78;8,107497935690835e-05
79;0,00013117213115042408
80;0,00019971026058508348
81;0,0002209651203731047
82;0,00017503854390442532
83;0,0001578035157548005
84;0,00014978897642574759
85;0,00011994172651065399
86;0,00011433908616463895
87;0,00010760586817032488
88;0,00010971627978048305
89;0,00013830733230857777
90;0,00019641902343114643
91;0,0002352103987416721
92;0,0001955145613125072
93;0,0001302174211363049
94;0,0001048924818144073
95;8,489381941338497e-05
96;7,15278792157168e-05
