;COM
0;6,29049784533856e-05
1;5,3244307670978207e-05
2;4,825419019304257e-05
3;4,781171672209261e-05
4;5,575165733969463e-05
5;6,430614444472714e-05
6;7,413888824361508e-05
7;0,0001018918076159763
8;0,0001655588237137757
9;0,00022207251869788415
10;0,00022716096361380863
11;0,0002345109396034774
12;0,00022421114047414226
13;0,00018859202606267073
14;0,00016917235705986704
15;0,00018210241515540467
16;0,00019660571225876437
17;0,00020085837395178343
18;0,00017912801015624108
19;0,00012475293694839078
20;9,71966724520073e-05
21;8,539737989334177e-05
22;7,595794584640935e-05
23;7,15823748559042e-05
24;6,29049784533856e-05
25;5,3244307670978207e-05
26;4,825419019304257e-05
27;4,781171672209261e-05
28;5,575165733969463e-05
29;6,430614444472714e-05
30;7,413888824361508e-05
31;0,0001018918076159763
32;0,0001655588237137757
33;0,00022207251869788415
34;0,00022716096361380863
35;0,0002345109396034774
36;0,00022421114047414226
37;0,00018859202606267073
38;0,00016917235705986704
39;0,00018210241515540467
40;0,00019660571225876437
41;0,00020085837395178343
42;0,00017912801015624108
43;0,00012475293694839078
44;9,71966724520073e-05
45;8,539737989334177e-05
46;7,595794584640935e-05
47;7,15823748559042e-05
48;6,988622655059605e-05
49;7,418805196260951e-05
50;6,516650952712982e-05
51;6,256083242042453e-05
52;6,42569807257327e-05
53;6,811633266679622e-05
54;7,499925332601777e-05
55;0,00010356337406178724
56;0,00015572607991488777
57;0,0001871908600713292
58;0,0001978839689526198
59;0,0002043981617193831
60;0,0001976135684981504
61;0,00017738269813193845
62;0,00013851877826683386
63;9,977776769921537e-05
64;8,360290415004473e-05
65;8,650356357071666e-05
66;9,53284511302186e-05
67;9,500888695675473e-05
68;9,368146654390487e-05
69;8,598734452127505e-05
70;7,772783973020919e-05
71;6,951749865813774e-05
72;5,9488099983272045e-05
73;5,3613035563436497e-05
74;4,702509721818158e-05
75;4,2182470897229274e-05
76;4,1174614657843255e-05
77;4,237912577320703e-05
78;4,734466139164544e-05
79;5,066321242377011e-05
80;4,864749994499808e-05
81;5,196605097712276e-05
82;6,260999613941897e-05
83;7,020579072405989e-05
84;7,531881749948163e-05
85;7,87356959695952e-05
86;7,52942356399844e-05
87;6,688723969193523e-05
88;6,108592085059134e-05
89;7,19265208888653e-05
90;8,923214997490806e-05
91;9,19853182385967e-05
92;9,00187694788191e-05
93;7,9497733614009e-05
94;7,077117349249595e-05
95;6,275748729640228e-05
96;6,29049784533856e-05
97;5,3244307670978207e-05
98;4,825419019304257e-05
99;4,781171672209261e-05
100;5,575165733969463e-05
101;6,430614444472714e-05
102;7,413888824361508e-05
103;0,0001018918076159763
104;0,0001655588237137757
105;0,00022207251869788415
106;0,00022716096361380863
107;0,0002345109396034774
108;0,00022421114047414226
109;0,00018859202606267073
110;0,00016917235705986704
111;0,00018210241515540467
112;0,00019660571225876437
113;0,00020085837395178343
114;0,00017912801015624108
115;0,00012475293694839078
116;9,71966724520073e-05
117;8,539737989334177e-05
118;7,595794584640935e-05
119;7,15823748559042e-05
120;6,29049784533856e-05
121;5,3244307670978207e-05
122;4,825419019304257e-05
123;4,781171672209261e-05
124;5,575165733969463e-05
125;6,430614444472714e-05
126;7,413888824361508e-05
127;0,0001018918076159763
128;0,0001655588237137757
129;0,00022207251869788415
130;0,00022716096361380863
131;0,0002345109396034774
132;0,00022421114047414226
133;0,00018859202606267073
134;0,00016917235705986704
135;0,00018210241515540467
136;0,00019660571225876437
137;0,00020085837395178343
138;0,00017912801015624108
139;0,00012475293694839078
140;9,71966724520073e-05
141;8,539737989334177e-05
142;7,595794584640935e-05
143;7,15823748559042e-05
144;6,29049784533856e-05
145;5,3244307670978207e-05
146;4,825419019304257e-05
147;4,781171672209261e-05
148;5,575165733969463e-05
149;6,430614444472714e-05
150;7,413888824361508e-05
151;0,0001018918076159763
152;0,0001655588237137757
153;0,00022207251869788415
154;0,00022716096361380863
155;0,0002345109396034774
156;0,00022421114047414226
157;0,00018859202606267073
158;0,00016917235705986704
159;0,00018210241515540467
160;0,00019660571225876437
161;0,00020085837395178343
162;0,00017912801015624108
163;0,00012475293694839078
164;9,71966724520073e-05
165;8,539737989334177e-05
166;7,595794584640935e-05
167;7,15823748559042e-05
168;6,29049784533856e-05
169;5,3244307670978207e-05
170;4,825419019304257e-05
171;4,781171672209261e-05
172;5,575165733969463e-05
173;6,430614444472714e-05
174;7,413888824361508e-05
175;0,0001018918076159763
176;0,0001655588237137757
177;0,00022207251869788415
178;0,00022716096361380863
179;0,0002345109396034774
180;0,00022421114047414226
181;0,00018859202606267073
182;0,00016917235705986704
183;0,00018210241515540467
184;0,00019660571225876437
185;0,00020085837395178343
186;0,00017912801015624108
187;0,00012475293694839078
188;9,71966724520073e-05
189;8,539737989334177e-05
190;7,595794584640935e-05
191;7,15823748559042e-05
192;6,29049784533856e-05
193;5,3244307670978207e-05
194;4,825419019304257e-05
195;4,781171672209261e-05
196;5,575165733969463e-05
197;6,430614444472714e-05
198;7,413888824361508e-05
199;0,0001018918076159763
200;0,0001655588237137757
201;0,00022207251869788415
202;0,00022716096361380863
203;0,0002345109396034774
204;0,00022421114047414226
205;0,00018859202606267073
206;0,00016917235705986704
207;0,00018210241515540467
208;0,00019660571225876437
209;0,00020085837395178343
210;0,00017912801015624108
211;0,00012475293694839078
212;9,71966724520073e-05
213;8,539737989334177e-05
214;7,595794584640935e-05
215;7,15823748559042e-05
216;6,988622655059605e-05
217;7,418805196260951e-05
218;6,516650952712982e-05
219;6,256083242042453e-05
220;6,42569807257327e-05
221;6,811633266679622e-05
222;7,499925332601777e-05
223;0,00010356337406178724
224;0,00015572607991488777
225;0,0001871908600713292
226;0,0001978839689526198
227;0,0002043981617193831
228;0,0001976135684981504
229;0,00017738269813193845
230;0,00013851877826683386
231;9,977776769921537e-05
232;8,360290415004473e-05
233;8,650356357071666e-05
234;9,53284511302186e-05
235;9,500888695675473e-05
236;9,368146654390487e-05
237;8,598734452127505e-05
238;7,772783973020919e-05
239;6,951749865813774e-05
240;5,9488099983272045e-05
241;5,3613035563436497e-05
242;4,702509721818158e-05
243;4,2182470897229274e-05
244;4,1174614657843255e-05
245;4,237912577320703e-05
246;4,734466139164544e-05
247;5,066321242377011e-05
248;4,864749994499808e-05
249;5,196605097712276e-05
250;6,260999613941897e-05
251;7,020579072405989e-05
252;7,531881749948163e-05
253;7,87356959695952e-05
254;7,52942356399844e-05
255;6,688723969193523e-05
256;6,108592085059134e-05
257;7,19265208888653e-05
258;8,923214997490806e-05
259;9,19853182385967e-05
260;9,00187694788191e-05
261;7,9497733614009e-05
262;7,077117349249595e-05
263;6,275748729640228e-05
264;6,29049784533856e-05
265;5,3244307670978207e-05
266;4,825419019304257e-05
267;4,781171672209261e-05
268;5,575165733969463e-05
269;6,430614444472714e-05
270;7,413888824361508e-05
271;0,0001018918076159763
272;0,0001655588237137757
273;0,00022207251869788415
274;0,00022716096361380863
275;0,0002345109396034774
276;0,00022421114047414226
277;0,00018859202606267073
278;0,00016917235705986704
279;0,00018210241515540467
280;0,00019660571225876437
281;0,00020085837395178343
282;0,00017912801015624108
283;0,00012475293694839078
284;9,71966724520073e-05
285;8,539737989334177e-05
286;7,595794584640935e-05
287;7,15823748559042e-05
288;6,29049784533856e-05
289;5,3244307670978207e-05
290;4,825419019304257e-05
291;4,781171672209261e-05
292;5,575165733969463e-05
293;6,430614444472714e-05
294;7,413888824361508e-05
295;0,0001018918076159763
296;0,0001655588237137757
297;0,00022207251869788415
298;0,00022716096361380863
299;0,0002345109396034774
300;0,00022421114047414226
301;0,00018859202606267073
302;0,00016917235705986704
303;0,00018210241515540467
304;0,00019660571225876437
305;0,00020085837395178343
306;0,00017912801015624108
307;0,00012475293694839078
308;9,71966724520073e-05
309;8,539737989334177e-05
310;7,595794584640935e-05
311;7,15823748559042e-05
312;6,29049784533856e-05
313;5,3244307670978207e-05
314;4,825419019304257e-05
315;4,781171672209261e-05
316;5,575165733969463e-05
317;6,430614444472714e-05
318;7,413888824361508e-05
319;0,0001018918076159763
320;0,0001655588237137757
321;0,00022207251869788415
322;0,00022716096361380863
323;0,0002345109396034774
324;0,00022421114047414226
325;0,00018859202606267073
326;0,00016917235705986704
327;0,00018210241515540467
328;0,00019660571225876437
329;0,00020085837395178343
330;0,00017912801015624108
331;0,00012475293694839078
332;9,71966724520073e-05
333;8,539737989334177e-05
334;7,595794584640935e-05
335;7,15823748559042e-05
336;6,29049784533856e-05
337;5,3244307670978207e-05
338;4,825419019304257e-05
339;4,781171672209261e-05
340;5,575165733969463e-05
341;6,430614444472714e-05
342;7,413888824361508e-05
