;RES
0;7,663821010130387e-05
1;5,615495187117919e-05
2;3,959930869003474e-05
3;3,631801004151961e-05
4;3,78095094272083e-05
5;5,327138639218106e-05
6;8,46425901378332e-05
7;0,00011874820942391458
8;0,0001097494964635928
9;9,217466203556109e-05
10;9,26718284974573e-05
11;0,00010303774922799372
12;0,00010671678104602581
13;0,00010375864059774325
14;0,00010370892395155362
15;9,851353442473802e-05
16;0,00010020390039518518
17;0,00013343947837294817
18;0,00016279715794792056
19;0,00017634494403459287
20;0,0001633191827329116
21;0,00013662134372908406
22;0,0001319728373103543
23;0,00010139709990373614
24;7,663821010130387e-05
25;5,615495187117919e-05
26;3,959930869003474e-05
27;3,631801004151961e-05
28;3,78095094272083e-05
29;5,327138639218106e-05
30;8,46425901378332e-05
31;0,00011874820942391458
32;0,0001097494964635928
33;9,217466203556109e-05
34;9,26718284974573e-05
35;0,00010303774922799372
36;0,00010671678104602581
37;0,00010375864059774325
38;0,00010370892395155362
39;9,851353442473802e-05
40;0,00010020390039518518
41;0,00013343947837294817
42;0,00016279715794792056
43;0,00017634494403459287
44;0,0001633191827329116
45;0,00013662134372908406
46;0,0001319728373103543
47;0,00010139709990373614
48;8,203246621287799e-05
49;6,050515841277121e-05
50;4,2259149261179564e-05
51;3,639258501080404e-05
52;3,676545985722622e-05
53;4,6559639156581956e-05
54;6,0107425243254223e-05
55;8,598493958495301e-05
56;9,761863479332478e-05
57;0,00010495184010629419
58;0,00011347824492781452
59;0,00012662829784496982
60;0,0001297853048780109
61;0,00012217865801099855
62;0,0001261808480292632
63;0,00013425980303507696
64;0,0001445014321501393
65;0,00017875620137478956
66;0,00019613216921806278
67;0,00018623855662632782
68;0,0001609327837158097
69;0,00013321575346509487
70;0,000134781827820068
71;0,000112359620388548
72;8,700413083184027e-05
73;7,156711218996233e-05
74;5,073583743651029e-05
75;4,355178206210976e-05
76;4,327834050806683e-05
77;5,100927899055321e-05
78;6,000799195087498e-05
79;8,533862318448792e-05
80;0,00011052010447953197
81;0,00013189826234106985
82;0,00014962224670767046
83;0,00017169643761586308
84;0,00017286477880131923
85;0,0001515860542321606
86;0,00013672077702146332
87;0,00013013332140133824
88;0,00013530385260505904
89;0,00016853943058282202
90;0,00018715831458083584
91;0,00018059571728380562
92;0,00016041075893081868
93;0,00013334004508056894
94;0,00013110279600203587
95;0,00010373378227464841
96;7,663821010130387e-05
97;5,615495187117919e-05
98;3,959930869003474e-05
99;3,631801004151961e-05
100;3,78095094272083e-05
101;5,327138639218106e-05
102;8,46425901378332e-05
103;0,00011874820942391458
104;0,0001097494964635928
105;9,217466203556109e-05
106;9,26718284974573e-05
107;0,00010303774922799372
108;0,00010671678104602581
109;0,00010375864059774325
110;0,00010370892395155362
111;9,851353442473802e-05
112;0,00010020390039518518
113;0,00013343947837294817
114;0,00016279715794792056
115;0,00017634494403459287
116;0,0001633191827329116
117;0,00013662134372908406
118;0,0001319728373103543
119;0,00010139709990373614
120;7,663821010130387e-05
121;5,615495187117919e-05
122;3,959930869003474e-05
123;3,631801004151961e-05
124;3,78095094272083e-05
125;5,327138639218106e-05
126;8,46425901378332e-05
127;0,00011874820942391458
128;0,0001097494964635928
129;9,217466203556109e-05
130;9,26718284974573e-05
131;0,00010303774922799372
132;0,00010671678104602581
133;0,00010375864059774325
134;0,00010370892395155362
135;9,851353442473802e-05
136;0,00010020390039518518
137;0,00013343947837294817
138;0,00016279715794792056
139;0,00017634494403459287
140;0,0001633191827329116
141;0,00013662134372908406
142;0,0001319728373103543
143;0,00010139709990373614
144;7,663821010130387e-05
145;5,615495187117919e-05
146;3,959930869003474e-05
147;3,631801004151961e-05
148;3,78095094272083e-05
149;5,327138639218106e-05
150;8,46425901378332e-05
151;0,00011874820942391458
152;0,0001097494964635928
153;9,217466203556109e-05
154;9,26718284974573e-05
155;0,00010303774922799372
156;0,00010671678104602581
157;0,00010375864059774325
158;0,00010370892395155362
159;9,851353442473802e-05
160;0,00010020390039518518
161;0,00013343947837294817
162;0,00016279715794792056
163;0,00017634494403459287
164;0,0001633191827329116
165;0,00013662134372908406
166;0,0001319728373103543
167;0,00010139709990373614
168;7,663821010130387e-05
169;5,615495187117919e-05
170;3,959930869003474e-05
171;3,631801004151961e-05
172;3,78095094272083e-05
173;5,327138639218106e-05
174;8,46425901378332e-05
175;0,00011874820942391458
176;0,0001097494964635928
177;9,217466203556109e-05
178;9,26718284974573e-05
179;0,00010303774922799372
180;0,00010671678104602581
181;0,00010375864059774325
182;0,00010370892395155362
183;9,851353442473802e-05
184;0,00010020390039518518
185;0,00013343947837294817
186;0,00016279715794792056
187;0,00017634494403459287
188;0,0001633191827329116
189;0,00013662134372908406
190;0,0001319728373103543
191;0,00010139709990373614
192;7,663821010130387e-05
193;5,615495187117919e-05
194;3,959930869003474e-05
195;3,631801004151961e-05
196;3,78095094272083e-05
197;5,327138639218106e-05
198;8,46425901378332e-05
199;0,00011874820942391458
200;0,0001097494964635928
201;9,217466203556109e-05
202;9,26718284974573e-05
203;0,00010303774922799372
204;0,00010671678104602581
205;0,00010375864059774325
206;0,00010370892395155362
207;9,851353442473802e-05
208;0,00010020390039518518
209;0,00013343947837294817
210;0,00016279715794792056
211;0,00017634494403459287
212;0,0001633191827329116
213;0,00013662134372908406
214;0,0001319728373103543
215;0,00010139709990373614
216;8,203246621287799e-05
217;6,050515841277121e-05
218;4,2259149261179564e-05
219;3,639258501080404e-05
220;3,676545985722622e-05
221;4,6559639156581956e-05
222;6,0107425243254223e-05
223;8,598493958495301e-05
224;9,761863479332478e-05
225;0,00010495184010629419
226;0,00011347824492781452
227;0,00012662829784496982
228;0,0001297853048780109
229;0,00012217865801099855
230;0,0001261808480292632
231;0,00013425980303507696
232;0,0001445014321501393
233;0,00017875620137478956
234;0,00019613216921806278
235;0,00018623855662632782
236;0,0001609327837158097
237;0,00013321575346509487
238;0,000134781827820068
239;0,000112359620388548
240;8,700413083184027e-05
241;7,156711218996233e-05
242;5,073583743651029e-05
243;4,355178206210976e-05
244;4,327834050806683e-05
245;5,100927899055321e-05
246;6,000799195087498e-05
247;8,533862318448792e-05
248;0,00011052010447953197
249;0,00013189826234106985
