Country;RES;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
AUT;-9,970271567959693e+40;3609;54196;0;1294;1342;237774;1;2850;2417;103;69642;1260;89380;13715;96293;3420;352
CHE;-6,652519083741024e+40;945;3734;0;142;29;6041;1;1199;572;29;20185;110;899;564;4639;576;143
CZE;-1,2675515901245685e+40;300;9033;0;168;407;27703;0;0;54;10;60;373;46869;3502;21613;0;10
DEU;-4,1539962513948106e+41;2537;13963;0;317;635;104400;0;203;262;45;3477;392;113396;18227;127000;23;5
HRV;-3,062540754663387e+39;95;19;0;3;628;775;0;0;8;2;1;56;5150;185;3519;0;0
HUN;-6,601476737829967e+40;955;160;0;62;8167;8483;0;2;26;4;60;337;47473;2587;21525;0;20
ITA;-4,0299633508309434e+42;817;18647;0;314;863;38452;0;1299;846;57;37299;118;1653;816;6918;1593;433
LIE;37997,70298290253;2;99;0;1;0;413;0;30;9;0;141;2;51;73;284;0;0
SVK;-4,763952285031935e+39;113;783;0;22;2806;3765;6;1;77;24;40;119;12822;2013;3681;0;13
SVN;-5,954940356289919e+39;15;1892;0;14;1248;26518;0;4;44;5;2052;38;6995;899;13985;32;2
