AUT;BEL;BGR;BIH;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ISL;ITA;LTU;LUX;LVA;MKD;MNE;NLD;NOR;POL;PRT;ROU;SRB;SVK;SVN;SWE;UKR
7247,0;9555,0;5259,0;1602,0;7634,999999999999;418,0;6166,0;47445,36082474227;3337,8999999999996;25385,0;825,0;9531,0;71506,349;33623,59090909091;5701,0;2106,0;4167,0;2849,0;2056,0;26277,999999999996;1093,0;498,00000000000006;714,0;1342,0;521,0;11586,0;15505,000000000002;14494,0;5493,0;6541,0;6257,0;2977,0;1232,0;15084,0;774,0
6908,0;9094,0;5024,0;1519,0;7643,000000000001;395,0;6064,0;45923,71134020619;3223,2;24382,0;793,0;9190,0;71134,366;33838,590909090904;5537,0;1954,0;3965,9999999999995;2651,0;2068,0;25056,0;1039,0;478,0;678,0;1274,0;492,0;11338,0;15471,0;13726,0;5283,0;6180,0;6132,0;2860,0;1194,0;14844,999999999998;718,0
6601,000000000001;8691,0;4773,0;1423,0;7394,0;361,0;5958,0;44295,87628865979;3090,7;22734,0;765,0;9072,0;68840,396;33390,59090909091;5227,0;1818,0;3653,0;2412,0;2057,0;23342,0;992,0;457,0;645,0;1191,0;459,99999999999994;10917,0;15105,000000000002;13036,000000000002;5002,0;5904,0;5773,0;2728,0;1153,0;14554,0;691,0
6311,0;8354,0;4585,0;1367,0;7334,999999999999;333,0;5879,0;42868,0412371134;2953,4;21286,0;750,0;8996,0;65749,416;31003,81818181818;4977,0;1813,0;3406,0;2256,0;2041,0;21868,0;963,0000000000001;445,0;629,0;1124,0;424,0;10473,0;14883,000000000002;12555,0;4632,0;5706,0;5471,0;2626,0;1113,0;14266,999999999998;689,0
6230,0;8080,0;4440,0;1330,0;7004,000000000001;319,0;5828,0;42230,927835051545;2888,7;20264,0;746,0;9026,0;64041,327000000005;28861,81818181818;4876,0;1776,0000000000002;3324,0;2170,0;2037,0;20985,0;947,0000000000001;438,0;631,0;1071,0;408,0;10200,0;14755,000000000002;12427,0;4348,0;5541,0;5199,0;2618,0;1091,0;14224,0;698,0
6321,0;7965,000000000001;4418,0;1321,0;7045,0;313,0;5731,0;41491,75257731958;2916,7;19905,0;755,0;9217,0;64209,703;27042,272727272724;4906,0;1787,0;3334,0000000000005;2136,0;2034,0;20976,0;965,0;436,00000000000006;644,0;1047,0;401,99999999999994;10182,0;14903,0;12306,0;4178,0;5545,0;5060,0;2626,0;1107,0;14369,999999999998;712,0
6377,0;8005,0;4393,0;1362,0;6839,0;299,0;5669,0;40008,24742268042;3039,4;20010,0;771,0;9220,0;64437,125;26506,409090909092;4951,0;1814,0;3399,0;2169,0;2034,0;21805,0;981,0;434,99999999999994;652,0;1031,0;399,0;10317,0;15131,0;12304,0;4084,0000000000005;5472,0;4987,0;2641,0;1155,0;14780,000000000002;741,0
6677,0;7748,999999999999;4441,0;1397,0;6619,0;302,0;5601,0;40252,57731958763;3172,0;20377,0;788,0;9369,0;64785,439;27141,18181818182;5147,0;1796,0;3449,0;2223,0;2039,0;22177,0;988,0000000000001;449,0;655,0;975,0;409,0;10616,0;15415,0;12181,0;4051,0;5376,0;4944,0;2622,0;1193,0;15097,999999999998;768,0
7034,999999999999;7769,0;4637,0;1513,0;6563,0;319,0;5651,0;40949,48453608248;3282,7;20094,0;791,0;9319,0;64292,057;27663,454545454544;5723,0;1852,0;3579,0;2234,0;2046,0;22770,0;1019,0;451,99999999999994;657,0;1001,0;440,00000000000006;10875,0;15566,999999999998;12114,0;3789,0;5326,0;5163,0;2691,0;1250,0;15231,0;813,0000000000001
7394,0;7859,999999999999;4834,0;1630,9999999999998;6812,0;336,0;6115,0;43330,927835051545;3484,7999999999997;20637,0;827,0;9375,0;65353,33800000001;28633,863636363636;6417,0;1957,0;3789,0;2343,0;2055,0;25248,0;1079,0;451,99999999999994;688,0;1064,0;476,0;11225,0;15852,000000000002;12590,0;3981,0;5448,0;5453,0;2794,0;1315,0;15453,0;827,9999999999999
