Cohort;Name;Site;Type;Year;act-lo;act-up;area-per-cap;cap-lo;cap-up;depreciation;detail;fix-cost;geometry;heatmax;heatupcost;hotstart;inst-cap;inv-cost;lambda;lifetime;max-grad;maxdeltaT;min-fraction;on-off;pdt;pot;precaponline;preheat;prepow;prestate;pretemp;rd;rdmax;reserve-cost;ru;rumax;sd;start-cost;su;var-cost;wacc;year_mu;year_stdev;eff;effmin;cotwo
2009,0;Simmering;CL04;Gas;2009,0;0,3;1;0;0;1272,0;30;5;21250;POINT (16.43375 48.18331);0,2;60;0;1272,0;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
2001,0;Donaustadt;CL04;Gas;2001,0;0,3;1;0;0;347,0;30;5;21250;POINT (16.46315 48.19878);0,2;60;0;347,0;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
1986,0;Mellach_fernheizkraftwerk;CL01;Coal;1986,0;0,4;1;0;0;246,0;40;5;40000;POINT (15.492162 46.908219);0,15;110;0;246,0;1600000;0,06;40;0,6;1;0,4;1;0;0;0;0;0;1;1;0,03;1;0;0,03;1;0,5;90;0,5;3,6;0,07;1975;5;0,390625;0,27932960893854747;0,359375
1987,0;Drnrohr;CL04;Coal;1987,0;0,4;1;0;0;704,0;40;5;40000;POINT (15.91977 48.32695);0,15;110;0;704,0;1600000;0,06;40;0,6;1;0,4;1;0;0;0;0;0;1;1;0,03;1;0;0,03;1;0,5;90;0,5;3,6;0,07;1975;5;0,390625;0,27932960893854747;0,359375
2008,0;Timelkam;CL05;Gas;2008,0;0,3;1;0;0;400,0;30;5;21250;POINT (13.59161 48.01256);0,2;60;0;400,0;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
1958,0;Korneuburg;CL04;Gas;1958,0;0,3;1;0;0;150,0;30;5;21250;POINT (16.33981 48.33263);0,2;60;0;150,0;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
2000,0;Leopoldau;CL04;Gas;2000,0;0,3;1;0;0;140,0;30;5;21250;POINT (16.4514275 48.2773776);0,2;60;0;140,0;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
1987,0;Riedersbach;CL05;Coal;1987,0;0,4;1;0;0;223,0;40;5;40000;POINT (12.84165 48.03014);0,15;110;0;223,0;1600000;0,06;40;0,6;1;0,4;1;0;0;0;0;0;1;1;0,03;1;0;0,03;1;0,5;90;0,5;3,6;0,07;1975;5;0,390625;0,27932960893854747;0,359375
2001,0;Salzburg_mitte;CL00;Gas;2001,0;0,3;1;0;0;83,66;30;5;21250;POINT (13.03819 47.80929);0,2;60;0;83,66;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
1970,0;Linz_mitte_fernheizkraftwerk;CL05;Gas;1970,0;0,3;1;0;0;217,0;30;5;21250;POINT (14.322935 48.299219);0,2;60;0;217,0;850000;0,1;30;4,8;1;0,2;1;0;0;0;0;0;1;1;0,05;1;0;0,05;1;0,5;40;0,5;2,0;0,07;1990;8;0,5988023952095809;0,4273504273504274;0,17964071856287425
