Country;Duration;File;Fueltype;Latitude;Longitude;Name;Prob;Retrofit;Set;Technology;Type;YearCommissioned;inst-cap;projectID;Year;year_mu;year_stdev
Poland;0,0;energy_storage_exchange, ENTSOE, GPI;Hydro;49,395832299999995;22,460691600000004;Solina;;2000,0;Store;Pumped Storage;PumSt;1968,0;200,0;{u'ENTSOE': [u'19W0000000002515'], u'GPD': [u'GPD12065'], u'OPSD': [u'OEU318', u'OEU315', u'OEU317', u'OEU316'], u'ESE': [u'ESE73'], u'GEO': [u'GEO42474'], u'CARMA': [u'CARMA42275']};2000,0;;
Poland;0,0;energy_storage_exchange, ENTSOE, GPI;Hydro;54,769765500000005;18,0466655;Żarnowiec;;2006,0;Store;Pumped Storage;PumSt;1983,0;716,0;{u'ENTSOE': [u'19W0000000002418'], u'GPD': [u'GPD12077'], u'OPSD': [u'OEU327', u'OEU330', u'OEU329', u'OEU328'], u'ESE': [u'ESE74'], u'GEO': [u'GEO42483'], u'CARMA': [u'CARMA50891']};2006,0;;
Poland;0,0;energy_storage_exchange, GPI;Hydro;54,0216713;16,7385445;Żydowo;;1971,0;Store;Pumped Storage;PumSt;1971,0;156,0;{u'GEO': [u'GEO42470'], u'ESE': [u'ESE75'], u'ENTSOE': [u'19W0000000002426'], u'CARMA': [u'CARMA51126'], u'OPSD': [u'OEU332', u'OEU333', u'OEU331']};1971,0;;
Bulgaria;8,5;energy_storage_exchange, ENTSOE;Hydro;42,1927654;24,3335662;Chaira;;1995,0;Store;Pumped Storage;PumSt;1995,0;788,0;{u'GPD': [u'GPD3399'], u'GEO': [u'GEO42172'], u'ESE': [u'ESE114'], u'ENTSOE': [u'32W0011001000692'], u'CARMA': [u'CARMA7793']};1995,0;;
France;0,0;energy_storage_exchange, RTE;Hydro;45,482443599999996;6,5338785999999995;Coche;;1975,0;Store;Pumped Storage;PumSt;1975,0;310,0;{u'GEO': [u'GEO39819'], u'ESE': [u'ESE58'], u'ENTSOE': [u'17W100P100P02748'], u'CARMA': [u'CARMA23659'], u'OPSD': [u'OEU109']};1975,0;;
France;0,0;energy_storage_exchange, RTE;Hydro;45,3815081;5,9869144;Le_cheylas;;1979,0;Store;Pumped Storage;PumSt;1979,0;480,0;{u'GEO': [u'GEO45014'], u'ESE': [u'ESE57'], u'ENTSOE': [u'17W100P100P0273A'], u'CARMA': [u'CARMA24736', u'CARMA8236'], u'OPSD': [u'OEU108']};1979,0;;
France;0,0;energy_storage_exchange, RTE;Hydro;45,183414;6,478624;Super_bissorte;;1987,0;Store;Pumped Storage;PumSt;1936,0;748,0;{u'GEO': [u'GEO39783', u'GEO44379'], u'ESE': [u'ESE56'], u'ENTSOE': [u'17W100P100P02764'], u'CARMA': [u'CARMA4763'], u'OPSD': [u'OEU113']};1987,0;;
Slovenia;0,0;energy_storage_exchange, http://www.seng.si/hydro_power_plants/hydro_power_plants/big_hydroplants/;Hydro;46,0855;13,668598999999999;Avče;;2010,0;Store;Pumped Storage;PumSt;2009,0;185,0;{u'GEO': [u'GEO44873'], u'ESE': [u'ESE159'], u'ENTSOE': [u'28W-G-0000000009'], u'CARMA': [u'CARMA2612'], u'OPSD': [u'OEU5588']};2010,0;;
Italy;0,0;energy_storage_exchange, Terna;Hydro;37,10085;15,119678;Anapo_solarino;;1991,0;Store;Pumped Storage;PumSt;1989,0;600,0;{u'GEO': [u'GEO45434'], u'ESE': [u'ESE193'], u'ENTSOE': [u'26WIMYI-S19ANPAB'], u'CARMA': [u'CARMA1456'], u'OPSD': [u'OEU1142']};1991,0;;
Greece;0,0;energy_storage_exchange, Global Reservoir and Dam Database;Hydro;40,3856573;22,2113777;Sfikia;;1985,0;Store;Pumped Storage;PumSt;1985,0;315,0;{u'GPD': [u'GPD8851'], u'GEO': [u'GEO42802'], u'ESE': [u'ESE163'], u'ENTSOE': [u'29WYISSFIKIAS--8'], u'CARMA': [u'CARMA40775']};1985,0;;
Portugal;0,0;energy_storage_exchange, Energias Endogenas de Portugal;Hydro;41,689966999999996;-8,092345;Salamonde;;2015,0;Store;Pumped Storage;PumSt;1953,0;211,0;{u'GPD': [u'GPD12410'], u'GEO': [u'GEO43544'], u'ESE': [u'ESE260'], u'ENTSOE': [u'16WSALAM2------Z'], u'CARMA': [u'CARMA38814']};2015,0;;
Bulgaria;0,0;energy_storage_exchange, ENTSOE;Hydro;42,1666667;23,8;Belmeken;;1974,0;Store;Pumped Storage;PumSt;1974,0;104,0;{u'GPD': [u'GPD3398'], u'GEO': [u'GEO42173'], u'ESE': [u'ESE115'], u'ENTSOE': [u'32W001100100070H'], u'CARMA': [u'CARMA3973']};1974,0;;
