Name;Fueltype;Technology;Set;Country;inst-cap;Duration;YearCommissioned;Retrofit;Latitude;Longitude;File;projectID;Type
Solina;Hydro;Pumped Storage;Store;Poland;200,0;0,0;1968,0;2000,0;49,395832299999995;22,460691600000004;energy_storage_exchange, ENTSOE, GPI;{u'ENTSOE': [u'19W0000000002515'], u'GPD': [u'GPD12065'], u'OPSD': [u'OEU318', u'OEU315', u'OEU317', u'OEU316'], u'ESE': [u'ESE73'], u'GEO': [u'GEO42474'], u'CARMA': [u'CARMA42275']};PumSt
Żarnowiec;Hydro;Pumped Storage;Store;Poland;716,0;0,0;1983,0;2006,0;54,769765500000005;18,0466655;energy_storage_exchange, ENTSOE, GPI;{u'ENTSOE': [u'19W0000000002418'], u'GPD': [u'GPD12077'], u'OPSD': [u'OEU327', u'OEU330', u'OEU329', u'OEU328'], u'ESE': [u'ESE74'], u'GEO': [u'GEO42483'], u'CARMA': [u'CARMA50891']};PumSt
Żydowo;Hydro;Pumped Storage;Store;Poland;156,0;0,0;1971,0;1971,0;54,0216713;16,7385445;energy_storage_exchange, GPI;{u'GEO': [u'GEO42470'], u'ESE': [u'ESE75'], u'ENTSOE': [u'19W0000000002426'], u'CARMA': [u'CARMA51126'], u'OPSD': [u'OEU332', u'OEU333', u'OEU331']};PumSt
Chaira;Hydro;Pumped Storage;Store;Bulgaria;788,0;8,5;1995,0;1995,0;42,1927654;24,3335662;energy_storage_exchange, ENTSOE;{u'GPD': [u'GPD3399'], u'GEO': [u'GEO42172'], u'ESE': [u'ESE114'], u'ENTSOE': [u'32W0011001000692'], u'CARMA': [u'CARMA7793']};PumSt
Coche;Hydro;Pumped Storage;Store;France;310,0;0,0;1975,0;1975,0;45,482443599999996;6,5338785999999995;energy_storage_exchange, RTE;{u'GEO': [u'GEO39819'], u'ESE': [u'ESE58'], u'ENTSOE': [u'17W100P100P02748'], u'CARMA': [u'CARMA23659'], u'OPSD': [u'OEU109']};PumSt
Le cheylas;Hydro;Pumped Storage;Store;France;480,0;0,0;1979,0;1979,0;45,3815081;5,9869144;energy_storage_exchange, RTE;{u'GEO': [u'GEO45014'], u'ESE': [u'ESE57'], u'ENTSOE': [u'17W100P100P0273A'], u'CARMA': [u'CARMA24736', u'CARMA8236'], u'OPSD': [u'OEU108']};PumSt
Super bissorte;Hydro;Pumped Storage;Store;France;748,0;0,0;1936,0;1987,0;45,183414;6,478624;energy_storage_exchange, RTE;{u'GEO': [u'GEO39783', u'GEO44379'], u'ESE': [u'ESE56'], u'ENTSOE': [u'17W100P100P02764'], u'CARMA': [u'CARMA4763'], u'OPSD': [u'OEU113']};PumSt
Avče;Hydro;Pumped Storage;Store;Slovenia;185,0;0,0;2009,0;2010,0;46,0855;13,668598999999999;energy_storage_exchange, http://www.seng.si/hydro_power_plants/hydro_power_plants/big_hydroplants/;{u'GEO': [u'GEO44873'], u'ESE': [u'ESE159'], u'ENTSOE': [u'28W-G-0000000009'], u'CARMA': [u'CARMA2612'], u'OPSD': [u'OEU5588']};PumSt
Anapo solarino;Hydro;Pumped Storage;Store;Italy;600,0;0,0;1989,0;1991,0;37,10085;15,119678;energy_storage_exchange, Terna;{u'GEO': [u'GEO45434'], u'ESE': [u'ESE193'], u'ENTSOE': [u'26WIMYI-S19ANPAB'], u'CARMA': [u'CARMA1456'], u'OPSD': [u'OEU1142']};PumSt
Sfikia;Hydro;Pumped Storage;Store;Greece;315,0;0,0;1985,0;1985,0;40,3856573;22,2113777;energy_storage_exchange, Global Reservoir and Dam Database;{u'GPD': [u'GPD8851'], u'GEO': [u'GEO42802'], u'ESE': [u'ESE163'], u'ENTSOE': [u'29WYISSFIKIAS--8'], u'CARMA': [u'CARMA40775']};PumSt
Salamonde;Hydro;Pumped Storage;Store;Portugal;211,0;0,0;1953,0;2015,0;41,689966999999996;-8,092345;energy_storage_exchange, Energias Endogenas de Portugal;{u'GPD': [u'GPD12410'], u'GEO': [u'GEO43544'], u'ESE': [u'ESE260'], u'ENTSOE': [u'16WSALAM2------Z'], u'CARMA': [u'CARMA38814']};PumSt
Belmeken;Hydro;Pumped Storage;Store;Bulgaria;104,0;0,0;1974,0;1974,0;42,1666667;23,8;energy_storage_exchange, ENTSOE;{u'GPD': [u'GPD3398'], u'GEO': [u'GEO42173'], u'ESE': [u'ESE115'], u'ENTSOE': [u'32W001100100070H'], u'CARMA': [u'CARMA3973']};PumSt
Waldeck;Hydro;Pumped Storage;Store;Germany;480,0;7,17;1931,0;2009,0;51,1624468;9,064572;energy_storage_exchange;{u'GEO': [u'GEO44356', u'GEO44355'], u'ESE': [u'ESE50'], u'ENTSOE': [u'11WD2W2--0002757'], u'CARMA': [u'CARMA48779'], u'OPSD': [u'BNA0229', u'BNA0228']};PumSt
Pont ventoux susa;Hydro;Pumped Storage;Store;Italy;158,0;0,0;2005,0;2005,0;45,139117;6,965528;energy_storage_exchange, TERNA, Terna;{u'GPD': [u'GPD10396'], u'OPSD': [u'OEU1034'], u'ESE': [u'ESE326'], u'ENTSOE': [u'26WIMPI-S01VNSE6'], u'CARMA': [u'CARMA65743']};PumSt
Tanes;Hydro;Pumped Storage;Store;Spain;133,0;0,0;1978,0;1978,0;43,2504393;-5,9832577;energy_storage_exchange, Red Eléctrica de España, SEDE;{u'GPD': [u'GPD13714'], u'OPSD': [u'OEU4172', u'OEU4171'], u'ESE': [u'ESE207'], u'ENTSOE': [u'18WTANB-12345-05'], u'CARMA': [u'CARMA44480']};PumSt
Taloro;Hydro;Pumped Storage;Store;Italy;240,0;0,0;1978,0;1978,0;40,0948744;9,1618871;energy_storage_exchange, TERNA, Terna;{u'GPD': [u'GPD10368'], u'OPSD': [u'OEU1156'], u'ESE': [u'ESE218'], u'ENTSOE': [u'26WIMPI-T20TLRAJ'], u'CARMA': [u'CARMA44388']};PumSt
Saurdal;Hydro;Pumped Storage;Store;Norway;640,0;0,0;1986,0;1986,0;59,49881;6,526562;energy_storage_exchange, ENTSOE, Nordpool;{u'GPD': [u'GPD11748'], u'OPSD': [u'OEU5407', u'OEU5408', u'OEU5406', u'OEU5405'], u'ESE': [u'ESE169'], u'ENTSOE': [u'50WP00000000607Y'], u'CARMA': [u'CARMA39960']};PumSt
