Country/area;Technology;inst-cap (MW);prod (MWh);FLH (h)
AUT;Bagasse;0,0;0,0;0,0
AUT;Biogas;191,0;634000,0;3319,3717277486912
AUT;Concentrated solar power;0,0;0,0;0,0
AUT;Geothermal;1,0;0,0;0,0
AUT;Liquid biofuels;3,0;0,0;0,0
AUT;Marine;0,0;0,0;0,0
AUT;Offshore wind energy;0,0;0,0;0,0
AUT;Onshore wind energy;2489,0;4838000,0;1943,752511048614
AUT;Other solid biofuels;939,0;3567000,0;3798,7220447284344
AUT;Pumped storage;0,0;3435000,0;0,0
AUT;Renewable hydropower;13375,0;37091000,0;2773,158878504673
AUT;Renewable municipal waste;263,0;302000,0;1148,2889733840304
AUT;Solar photovoltaic;937,0;937000,0;1000,0
CHE;Bagasse;0,0;0,0;0,0
CHE;Biogas;29,0;304000,0;10482,758620689656
CHE;Concentrated solar power;0,0;0,0;0,0
CHE;Geothermal;0,0;0,0;0,0
CHE;Liquid biofuels;0,0;0,0;0,0
CHE;Marine;0,0;0,0;0,0
CHE;Offshore wind energy;0,0;0,0;0,0
CHE;Onshore wind energy;60,0;110000,0;1833,3333333333333
CHE;Other solid biofuels;0,0;214000,0;0,0
CHE;Pumped storage;469,0;1623000,0;3460,554371002132
CHE;Renewable hydropower;13346,0;38258000,0;2866,626704630601
CHE;Renewable municipal waste;211,0;1106000,0;5241,706161137441
CHE;Solar photovoltaic;1394,0;1119000,0;802,725968436155
CZE;Bagasse;0,0;0,0;0,0
CZE;Biogas;368,0;2611000,0;7095,108695652174
CZE;Concentrated solar power;0,0;0,0;0,0
CZE;Geothermal;0,0;0,0;0,0
CZE;Liquid biofuels;0,0;0,0;0,0
CZE;Marine;0,0;0,0;0,0
CZE;Offshore wind energy;0,0;0,0;0,0
CZE;Onshore wind energy;281,0;573000,0;2039,1459074733095
CZE;Other solid biofuels;380,0;2092000,0;5505,263157894737
CZE;Pumped storage;1172,0;1276000,0;1088,7372013651877
CZE;Renewable hydropower;1088,0;1795000,0;1649,8161764705883
CZE;Renewable municipal waste;23,0;87000,0;3782,608695652174
CZE;Solar photovoltaic;2075,0;2264000,0;1091,0843373493976
DEU;Bagasse;0,0;0,0;0,0
DEU;Biogas;5643,0;33073000,0;5860,889597731703
DEU;Concentrated solar power;2,0;0,0;0,0
